Q2_center	xbj_center	Content
2.275	0.2275	13126.1
2.275	0.2325	78060.3
2.275	0.2375	562.052
2.325	0.2325	47144.5
2.325	0.2375	189671
2.325	0.2425	10935
2.375	0.2375	42717.8
2.375	0.2425	385786
2.375	0.2475	118852
2.375	0.2525	29696.2
2.425	0.2425	1.41803e+06
2.425	0.2475	2.44694e+06
2.425	0.2525	248677
2.425	0.2575	172751
2.425	0.2625	8962.51
2.475	0.2475	1.83779e+06
2.475	0.2525	4.79612e+06
2.475	0.2575	1.7259e+06
2.475	0.2625	227079
2.475	0.2675	49000.1
2.475	0.2725	5235.85
2.525	0.2525	1.68884e+06
2.525	0.2575	5.95982e+06
2.525	0.2625	4.5276e+06
2.525	0.2675	1.17207e+06
2.525	0.2725	135224
2.525	0.2775	199907
2.525	0.2825	19665.5
2.575	0.2575	3.03599e+06
2.575	0.2625	8.84191e+06
2.575	0.2675	6.20344e+06
2.575	0.2725	3.83415e+06
2.575	0.2775	674803
2.575	0.2825	338727
2.575	0.2875	82409.7
2.575	0.2925	12536.6
2.625	0.2625	3.71181e+06
2.625	0.2675	1.17546e+07
2.625	0.2725	7.40577e+06
2.625	0.2775	5.81311e+06
2.625	0.2825	2.66001e+06
2.625	0.2875	601079
2.625	0.2925	212231
2.625	0.2975	170021
2.625	0.3025	4939.61
2.675	0.2675	3.44574e+06
2.675	0.2725	1.22458e+07
2.675	0.2775	9.59116e+06
2.675	0.2825	6.55111e+06
2.675	0.2875	4.62371e+06
2.675	0.2925	2.88545e+06
2.675	0.2975	429906
2.675	0.3025	235077
2.675	0.3075	82165.8
2.675	0.3125	56640.2
2.725	0.2725	3.82358e+06
2.725	0.2775	1.26853e+07
2.725	0.2825	1.0815e+07
2.725	0.2875	8.2935e+06
2.725	0.2925	5.00772e+06
2.725	0.2975	4.65398e+06
2.725	0.3025	2.25587e+06
2.725	0.3075	496780
2.725	0.3125	194851
2.725	0.3175	178076
2.725	0.3225	20505.6
2.775	0.2775	3.75884e+06
2.775	0.2825	1.36017e+07
2.775	0.2875	1.1314e+07
2.775	0.2925	9.41962e+06
2.775	0.2975	6.97652e+06
2.775	0.3025	5.07255e+06
2.775	0.3075	3.94844e+06
2.775	0.3125	2.03302e+06
2.775	0.3175	443564
2.775	0.3225	217426
2.775	0.3275	117430
2.775	0.3325	39809.4
2.775	0.3375	7910.68
2.825	0.2825	3.57167e+06
2.825	0.2875	1.39853e+07
2.825	0.2925	1.28566e+07
2.825	0.2975	9.46842e+06
2.825	0.3025	9.05332e+06
2.825	0.3075	6.57794e+06
2.825	0.3125	4.1689e+06
2.825	0.3175	3.5206e+06
2.825	0.3225	2.49543e+06
2.825	0.3275	774196
2.825	0.3325	131800
2.825	0.3375	100525
2.825	0.3425	63149.4
2.825	0.3475	37324
2.875	0.2875	3.46189e+06
2.875	0.2925	1.38541e+07
2.875	0.2975	1.33388e+07
2.875	0.3025	1.10614e+07
2.875	0.3075	9.12552e+06
2.875	0.3125	8.13188e+06
2.875	0.3175	5.82791e+06
2.875	0.3225	3.68023e+06
2.875	0.3275	3.93032e+06
2.875	0.3325	2.51529e+06
2.875	0.3375	818124
2.875	0.3425	112472
2.875	0.3475	127183
2.875	0.3525	104690
2.875	0.3575	27110
2.875	0.3625	2752.58
2.925	0.2925	3.76131e+06
2.925	0.2975	1.42125e+07
2.925	0.3025	1.33364e+07
2.925	0.3075	1.24075e+07
2.925	0.3125	1.04273e+07
2.925	0.3175	8.19077e+06
2.925	0.3225	7.70467e+06
2.925	0.3275	5.23261e+06
2.925	0.3325	3.90412e+06
2.925	0.3375	3.48602e+06
2.925	0.3425	2.41531e+06
2.925	0.3475	1.07948e+06
2.925	0.3525	166966
2.925	0.3575	127507
2.925	0.3625	84293.3
2.925	0.3675	48310.2
2.925	0.3725	13506.3
2.975	0.2975	3.39671e+06
2.975	0.3025	1.42946e+07
2.975	0.3075	1.36568e+07
2.975	0.3125	1.23961e+07
2.975	0.3175	1.12344e+07
2.975	0.3225	8.87839e+06
2.975	0.3275	7.65556e+06
2.975	0.3325	6.99415e+06
2.975	0.3375	5.1722e+06
2.975	0.3425	3.54122e+06
2.975	0.3475	2.93125e+06
2.975	0.3525	2.56792e+06
2.975	0.3575	1.51969e+06
2.975	0.3625	362305
2.975	0.3675	82800.2
2.975	0.3725	78010.7
2.975	0.3775	60672
2.975	0.3825	59567.1
2.975	0.3875	11491.3
3.025	0.3025	3.22743e+06
3.025	0.3075	1.35431e+07
3.025	0.3125	1.38271e+07
3.025	0.3175	1.19847e+07
3.025	0.3225	1.08278e+07
3.025	0.3275	9.84104e+06
3.025	0.3325	8.28623e+06
3.025	0.3375	6.85874e+06
3.025	0.3425	6.21084e+06
3.025	0.3475	5.03899e+06
3.025	0.3525	3.21325e+06
3.025	0.3575	2.72038e+06
3.025	0.3625	2.63023e+06
3.025	0.3675	1.5865e+06
3.025	0.3725	666307
3.025	0.3775	86763.4
3.025	0.3825	70365.9
3.025	0.3875	107859
3.025	0.3925	146442
3.025	0.3975	61882.7
3.025	0.4025	7261.62
3.075	0.3075	3.00802e+06
3.075	0.3125	1.25944e+07
3.075	0.3175	1.30923e+07
3.075	0.3225	1.19759e+07
3.075	0.3275	1.08187e+07
3.075	0.3325	9.72456e+06
3.075	0.3375	9.53552e+06
3.075	0.3425	7.74898e+06
3.075	0.3475	5.94002e+06
3.075	0.3525	6.02773e+06
3.075	0.3575	4.94049e+06
3.075	0.3625	3.41214e+06
3.075	0.3675	2.53132e+06
3.075	0.3725	2.27098e+06
3.075	0.3775	1.71851e+06
3.075	0.3825	1.09356e+06
3.075	0.3875	256002
3.075	0.3925	99274.5
